# t (s)	mx ()	my ()	mz ()	ext_exactdwposavg (m)	ext_exactdwvelavg (m/s)
0	2.5150926e-11	2.7691079e-12	-0.390625	1.28e-07	0
1e-11	-5.9753756e-06	0.00015908547	-0.39013198	1.280631e-07	6.311035
2e-11	-5.710835e-05	0.00082778925	-0.38950688	1.2814311e-07	8.000946
3e-11	-0.00022139345	0.0017694866	-0.38903764	1.2820318e-07	6.0058594
4e-11	-0.00040081562	0.0020638818	-0.38865674	1.2825194e-07	4.875946
4.9999999999999995e-11	-0.0005893295	0.0020332043	-0.38835225	1.282909e-07	3.8974762
6e-11	-0.0009078271	0.0021581103	-0.3881444	1.2831751e-07	2.6603699
7e-11	-0.001254308	0.0021572928	-0.38804936	1.2832969e-07	1.216507
8.000000000000001e-11	-0.0015169439	0.0019148703	-0.38807797	1.2832602e-07	-0.3665924
9.000000000000001e-11	-0.0017036544	0.0015100194	-0.38822293	1.2830746e-07	-1.8554688
1.0000000000000002e-10	-0.0018008284	0.00090899714	-0.3884587	1.2827729e-07	-3.017044
1.1000000000000002e-10	-0.0017845604	0.00010879243	-0.3887682	1.2823767e-07	-3.961563
1.2000000000000003e-10	-0.0016427103	-0.00085484434	-0.38915685	1.2818792e-07	-4.9755096
1.3000000000000002e-10	-0.0013549451	-0.0019383926	-0.38963345	1.2812693e-07	-6.099701
1.4e-10	-0.0009031177	-0.0030993721	-0.3902008	1.280543e-07	-7.262802
1.5e-10	-0.0002814445	-0.00433147	-0.39085925	1.2797001e-07	-8.427811
1.6e-10	0.0005068792	-0.005636219	-0.3916064	1.2787439e-07	-9.563065
1.6999999999999998e-10	0.0014550614	-0.00700048	-0.39243442	1.2776839e-07	-10.599136
1.7999999999999997e-10	0.0025598241	-0.008406788	-0.39332712	1.2765412e-07	-11.426926
1.8999999999999996e-10	0.0038303542	-0.009832965	-0.3942577	1.2753502e-07	-11.911011
1.9999999999999996e-10	0.00529131	-0.011243149	-0.39518857	1.2741586e-07	-11.915588
2.0999999999999995e-10	0.006972586	-0.012584098	-0.39607227	1.2730276e-07	-11.310959
2.1999999999999994e-10	0.008889107	-0.013785706	-0.396852	1.2720295e-07	-9.980392
2.2999999999999993e-10	0.011024718	-0.014768623	-0.39746612	1.2712434e-07	-7.8609467
2.3999999999999995e-10	0.013330694	-0.015460633	-0.39785546	1.270745e-07	-4.9835205
